with both publish calls using qos0, there is no CPU usage issue, in either
the broker, or the simplemq test application.

Still, for completeness, here is the perf output.  As can be seen, it's mostly in the kernel,
we're simply not doing anything heavy anymore.

# Overhead   Command           Shared Object                               Symbol
# ........  ........  ......................  ...................................
#
     0.30%  simplemq  [kernel]                [k] do_sync_write
     0.30%  simplemq  [kernel]                [k] tcp_is_cwnd_limited
     0.27%  simplemq  libpthread-0.9.33.2.so  [.] pthread_mutex_unlock
     0.27%  simplemq  libmosquitto.so.1       [.] _mosquitto_send_publish
     0.27%  simplemq  [kernel]                [k] shmem_file_aio_read
     0.27%  simplemq  [kernel]                [k] __dentry_open.isra.15
     0.27%  simplemq  [kernel]                [k] path_openat
     0.27%  simplemq  [kernel]                [k] alloc_fd
     0.27%  simplemq  [kernel]                [k] release_sock
     0.27%  simplemq  [kernel]                [k] __skb_clone
     0.27%  simplemq  [kernel]                [k] skb_push
     0.27%  simplemq  [kernel]                [k] tcp_data_queue
     0.25%  simplemq  libuClibc-0.9.33.2.so   [.] _time_mktime_tzi
     0.25%  simplemq  libuClibc-0.9.33.2.so   [.] memset
     0.25%  simplemq  libmosquitto.so.1       [.] _mosquitto_send_real_publish
     0.25%  simplemq  [kernel]                [k] do_softirq
     0.25%  simplemq  [kernel]                [k] ksize
     0.25%  simplemq  [kernel]                [k] __copy_skb_header
     0.25%  simplemq  [kernel]                [k] __ip_local_out
     0.25%  simplemq  [kernel]                [k] __schedule
     0.23%  simplemq  libuClibc-0.9.33.2.so   [.] _uintmaxtostr
     0.23%  simplemq  libuClibc-0.9.33.2.so   [.] pthread_mutex_unlock
     0.23%  simplemq  [nf_nat]                [k] 0x5e4   
     0.23%  simplemq  [kernel]                [k] run_timer_softirq
     0.23%  simplemq  [kernel]                [k] fget_light
     0.23%  simplemq  [kernel]                [k] fput
     0.23%  simplemq  [kernel]                [k] __d_lookup
     0.23%  simplemq  [kernel]                [k] __kfree_skb
     0.23%  simplemq  [kernel]                [k] sk_filter
     0.23%  simplemq  [kernel]                [k] tcp_send_mss
     0.23%  simplemq  [kernel]                [k] sk_stream_alloc_skb
     0.23%  simplemq  [iptable_raw]           [k] 0x40    
     0.21%  simplemq  libuClibc-0.9.33.2.so   [.] strftime
     0.21%  simplemq  libuClibc-0.9.33.2.so   [.] _time_t2tm
     0.21%  simplemq  libmosquitto.so.1       [.] _mosquitto_log_printf

